Year,Sem,College,Dept,Num,Section,Instructor,Course_name,Hours,Rating
2022,Fall,Heinz College,AEM,93717,A1,"ROSENBERG, STACY",WRTG CREAT INDUS,8.38,4.63
2022,Fall,Heinz College,AEM,93807,A1,"HALDEMAN, HAYLEY",MUSEUM OPERATIONS,8.38,4.5
2022,Fall,Heinz College,AEM,93811,A1,"CRAWFORD, BRETT",PRD PERF ART SEASON,8.0,4.38
2022,Fall,Heinz College,AEM,93832,A1,"MCDILL, SHAUNDA",ARTS & COMM DEV,9.8,4.0
2022,Fall, College of Fine Arts,ARC,48104,D1,"SONTAG, Steven",SHOP SKILLS,3.88,4.88
2022,Fall, College of Fine Arts,ARC,48104,C1,"SONTAG, Steven",SHOP SKILLS,3.8,5.0
2022,Fall, College of Fine Arts,ARC,48104,B1,"HOLMES, JON",SHOP SKILLS,5.6,4.8
2022,Fall, College of Fine Arts,ARC,48104,A1,"HOLMES, JON",SHOP SKILLS,5.75,3.75
2022,Fall, College of Fine Arts,ARC,48386,A1,"KASHEF ALGHATA, ZAID",PORT RES PREP,3.8,4.8
2022,Fall, College of Fine Arts,ARC,48676,A1,"BYRNE, DARAGH",CONNCTD COMMUNITIES,6.5,4.67
2022,Fall, College of Fine Arts,ARC,48689,A1,"KIM, MAN",DIGI SKLLS WRKSHP,9.0,4.42
2022,Fall, College of Fine Arts,ARC,48689,A1,"HUBER, MATTHEW",DIGI SKLLS WRKSHP,8.7,4.42
2022,Fall, College of Fine Arts,ART,60208,A1,"BLUM, AARON",ALTERNATIVE PHOTO,11.0,4.0
2022,Fall, College of Fine Arts,ART,60335,A1,"LIM HAAS, ALEXA",ST ANIMTN STRY DEVLP,5.43,5.0
2022,Fall, Mellon College of Science,BSC,3125,W,"BOUAOUINA, MOHAMED",EVOLTN,8.27,4.45
2022,Fall, Mellon College of Science,BSC,3129,W,"AFFARA, NESRINE",HUMAN HEALTH DISEASE,7.25,4.75
2022,Fall, Mellon College of Science,BSC,3151,2,"AFFARA, NESRINE",HONORS MOD BIOLOGY,10.81,4.31
2022,Fall, Mellon College of Science,BSC,3201,W,"YOUNIS, IHAB",UNDGRAD COLLQM SOPHM,3.0,4.5
2022,Fall, Mellon College of Science,BSC,3220,2,"YOUNIS, IHAB",GENETICS,9.0,4.17
2022,Fall, Mellon College of Science,BSC,3343,W,"VINCENT, ANNETTE",EXP TECHN MOL BIOLGY,20.75,3.25
2022,Fall, Mellon College of Science,BSC,3435,W,"YOUNIS, IHAB",CANCER BIOLOGY,9.5,3.75
2022,Fall, Mellon College of Science,BSC,3435,W,"BOUAOUINA, MOHAMED",CANCER BIOLOGY,9.5,3.25
2022,Fall, Mellon College of Science,BSC,3701,A1,"MCMANUS, CHARLES",PRACT CMPTNG BSC,7.73,3.91
2022,Fall, Mellon College of Science,BSC,3738,A1,"ZHANG, HUAIYING",SYNTHETIC BIOLOGY,6.71,4.64
2022,Fall, Mellon College of Science,BSC,3747,A1,"BARTH, ALISON",PPSL PREP PEER REV,5.75,4.25
